measure,feature,critical_score,feature_value
123,18,1,1.0
124,4,1,-0.3333333333333333
124,5,1,-0.3333333333333333
124,1,1,-0.6666666666666666
124,19,3,1.0
124,13,1,0.6666666666666666
124,14,1,-1.0
124,18,1,1.0
125,4,1,-0.3333333333333333
125,5,1,-0.3333333333333333
125,1,1,-0.6666666666666666
125,19,3,1.0
125,13,1,0.6666666666666666
125,14,1,-1.0
125,18,1,1.0
126,4,1,-0.3333333333333333
126,5,1,-0.3333333333333333
126,1,1,-0.6666666666666666
126,19,3,1.0
126,13,1,0.6666666666666666
126,14,1,-1.0
126,18,1,1.0
127,4,1,-0.3333333333333333
127,5,1,-0.3333333333333333
127,1,1,-0.6666666666666666
127,19,3,1.0
127,13,1,0.6666666666666666
127,14,1,-1.0
127,18,1,1.0
128,4,2,-0.16666666666666666
128,5,3,-0.3333333333333333
128,13,1,0.6666666666666666
128,14,1,-1.0
128,18,1,1.0
128,19,2,1.0
129,19,7,0.8571428571428571
129,13,1,1.0
129,1,3,-0.6666666666666666
129,11,1,1.0
129,14,1,-1.0
129,12,1,-0.3333333333333333
129,5,1,0.0
129,7,1,0.3333333333333333
129,4,1,0.3333333333333333
130,19,7,0.8571428571428571
130,13,1,1.0
130,1,3,-0.6666666666666666
130,11,1,1.0
130,14,1,-1.0
130,12,1,-0.3333333333333333
130,5,1,0.0
130,7,1,0.3333333333333333
130,4,1,0.3333333333333333
131,19,8,0.825
131,13,1,1.0
131,1,2,-0.8333333333333333
131,11,1,1.0
131,14,1,-1.0
131,12,1,-0.3333333333333333
131,5,1,0.0
131,7,1,0.3333333333333333
131,4,1,0.3333333333333333
132,19,7,0.8571428571428571
132,13,1,1.0
132,1,2,-0.8333333333333333
132,11,1,1.0
132,14,1,-1.0
132,12,1,-0.3333333333333333
132,5,1,0.0
132,7,1,0.3333333333333333
132,4,1,0.3333333333333333
133,19,7,0.8571428571428571
133,13,1,1.0
133,1,2,-0.8333333333333333
133,11,1,1.0
133,14,1,-1.0
133,12,1,-0.3333333333333333
133,5,1,0.0
133,7,1,0.3333333333333333
133,4,1,0.3333333333333333
134,19,7,0.8571428571428571
134,13,1,1.0
134,1,2,-0.8333333333333333
134,11,1,1.0
134,14,1,-1.0
134,12,1,-0.3333333333333333
134,5,1,0.0
134,7,1,0.3333333333333333
134,4,1,0.3333333333333333
135,19,7,0.8571428571428571
135,13,1,1.0
135,1,2,-0.8333333333333333
135,11,1,1.0
135,14,1,-1.0
135,12,1,-0.3333333333333333
135,5,1,0.0
135,7,1,0.3333333333333333
135,4,1,0.3333333333333333
136,19,7,0.8571428571428571
136,13,1,1.0
136,1,2,-0.8333333333333333
136,11,1,1.0
136,14,1,-1.0
136,12,1,-0.3333333333333333
136,5,1,0.0
136,7,1,0.3333333333333333
136,4,1,0.3333333333333333
137,2,1,-1.0
137,18,2,1.0
137,15,1,1.0
137,1,1,-0.6666666666666666
138,2,1,-1.0
138,18,2,1.0
138,15,1,1.0
138,1,1,-0.6666666666666666
139,10,1,-1.0
139,2,1,-1.0
139,18,2,1.0
139,15,1,1.0
139,1,1,-0.6666666666666666
140,2,1,-1.0
140,18,2,1.0
140,15,1,1.0
140,1,1,-0.6666666666666666
141,2,1,-1.0
141,18,2,1.0
141,15,1,1.0
141,1,1,-0.6666666666666666
142,2,1,-1.0
142,18,2,1.0
142,15,1,1.0
142,1,1,-0.6666666666666666
143,2,1,-1.0
143,18,2,1.0
143,15,1,1.0
143,1,1,-0.6666666666666666
144,2,1,-1.0
144,18,2,1.0
144,15,1,1.0
144,1,1,-0.6666666666666666
145,1,7,-0.761904761904762
145,11,2,0.3333333333333333
145,10,2,0.16666666666666666
145,5,8,-0.5416666666666666
145,19,3,0.7777777777777778
145,4,3,-0.22222222222222224
145,14,1,-0.6666666666666666
145,7,5,0.4666666666666666
145,13,4,0.41666666666666663
145,15,1,0.3333333333333333
145,12,1,0.3333333333333333
146,1,6,-0.7222222222222222
146,11,2,0.3333333333333333
146,10,2,0.16666666666666666
146,5,8,-0.5416666666666666
146,19,3,0.7777777777777778
146,4,3,-0.22222222222222224
146,14,1,-0.6666666666666666
146,7,5,0.4666666666666666
146,13,4,0.41666666666666663
146,15,1,0.3333333333333333
146,12,1,0.3333333333333333
147,1,6,-0.7222222222222222
147,11,2,0.3333333333333333
147,10,2,0.16666666666666666
147,5,8,-0.5416666666666666
147,19,3,0.7777777777777778
147,4,3,-0.22222222222222224
147,14,1,-0.6666666666666666
147,7,5,0.4666666666666666
147,13,4,0.41666666666666663
147,15,1,0.3333333333333333
147,12,1,0.3333333333333333
148,11,2,0.3333333333333333
148,10,2,0.16666666666666666
148,5,8,-0.5416666666666666
148,19,3,0.7777777777777778
148,4,3,-0.22222222222222224
148,1,4,-0.5833333333333333
148,14,1,-0.6666666666666666
148,7,5,0.4666666666666666
148,13,4,0.41666666666666663
148,15,1,0.3333333333333333
148,12,1,0.3333333333333333
149,11,2,0.3333333333333333
149,10,2,0.16666666666666666
149,5,8,-0.5416666666666666
149,19,3,0.7777777777777778
149,4,3,-0.22222222222222224
149,1,4,-0.5833333333333333
149,14,1,-0.6666666666666666
149,7,6,0.4444444444444444
149,13,4,0.41666666666666663
149,15,1,0.3333333333333333
149,12,1,0.3333333333333333
150,11,2,0.3333333333333333
150,10,2,-0.3333333333333333
150,5,7,-0.5238095238095237
